lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
bn,stats:stats.contextual.sublines.variableRTV2,0.807,0.531,0.669,Rythme irrégulier : stratégie instable sur la session. Pour progresser : choisir un tempo et s'y tenir.,অনিয়মিত ছন্দ: অধিবেশনের জন্য অস্থির কৌশল। উন্নতি করতে: একটি টেম্পো বাছাই করুন এবং এটিতে লেগে থাকুন।
hu,game:game.cogTask.eyesTest.heroTitle,0.65,0.688,0.669,Lire dans les yeux,Szemekből olvasás
my,game:game.symbolSearch.presentAccuracy,0.816,0.522,0.669,Précision présent,ပစ္စုပ္ပန်တိကျမှု
fi,stats:stats.contextual.insights.faTendencyV1,0.804,0.534,0.669,Tendance à répondre sur les non-cibles,Taipumus vastata ei-kohteisiin
uk,settings:settings.brainworkshop.tempo,0.814,0.524,0.669,Tempo de la session,Темп сесії
km,stats:stats.advanced.medianDuring,0.746,0.592,0.669,Médiane (pendant),មធ្យម (កំឡុងពេល)
ur,game:game.iedSetShift.advancingToNextStage,0.798,0.54,0.669,Passage à l'étape suivante…,Advancing کو اگلا مرحلہ۔۔۔
ur,settings:settings.about.replayOnboarding,0.816,0.522,0.669,Revoir la présentation,إعادة العرض التقديمي
fi,settings:settings.config.targetsHint,0.818,0.52,0.669,Correspondances à trouver (stimulus = celui d'il y a N),Löydettävät vastaavuudet (ärsyke = N askelta sitten ollut)
hu,stats:stats.mode.ospanDesc,0.779,0.559,0.669,Empan complexe : équations + rappel de lettres,Komplex span: egyenletek + betűfelhívás
th,settings:settings.gameMode.promemDesc,0.8,0.538,0.669,Catégorisez des éléments tout en agissant sur les cibles spéciales.,จัดหมวดหมู่รายการในขณะที่อย่าลืมดำเนินการกับเป้าหมายพิเศษ
km,settings:settings.modeSections.brainworkshop.base.subtitle,0.805,0.533,0.669,"Niveau, modalités et durée",កម្រិត N វិធីសាស្ត្រ និងរយៈពេល
th,badges:badges.flow_state.description,0.674,0.664,0.669,Détection de Flow sur une session entière.,ตรวจพบสถานะลื่นไหลตลอดทั้งเซสชัน
bn,home:cognitive.profileFocus,0.647,0.691,0.669,Levier {{label}},লিভার: {{label}}
ar,settings:settings.trace.mindfulTiming,0.64,0.698,0.669,Pleine conscience,اليقظة الذهنية
ro,game:game.cogTask.soroban.heavenBead,0.797,0.541,0.669,Boule céleste (valeur 5),Mărgele raiului (valoare 5)
bn,stats:stats.placeholders.simpleEvolutionTitle,0.746,0.592,0.669,Évolution détaillée par mode,মোড দ্বারা বিস্তারিত প্রবণতা
vi,game:game.cogTask.congruencyEffect,0.744,0.594,0.669,Effet de congruence,Hiệu ứng phù hợp
ko,game:game.cognitiveMap.title,0.689,0.649,0.669,Carte cognitive,인지 지도
it,tutorial:tutorial.report.statusMessage.stay,0.776,0.562,0.669,Presque. Un peu plus d'entrainement et ce sera bon.,Ci sei quasi. Ancora un po' di pratica e ce la farai.
ko,settings:settings.gameMode.cognitiveMap,0.689,0.649,0.669,Carte cognitive,인지 지도
ja,home:ospan.measure.retestDesc,0.778,0.56,0.669,Seules les passations valides alimentent l'empan actuel et la courbe d'évolution.,有効な実施のみが現在のスパンと推移曲線に反映されます。
zh,settings:settings.gameMode.bindingDesc,0.811,0.527,0.669,Détectez les changements de liaison couleur-forme après un bref affichage.,短暂呈现后检测颜色-形状组合的变化。
ur,settings:settings.gameMode.phonemeDiscriminationDesc,0.808,0.53,0.669,Distinguez des sons de parole confondables.,فرق کریں confusable speech sounds۔
no,game:game.waterLevel.waterLine,0.705,0.633,0.669,Ligne de flottaison ?,Vannledning?
vi,game:game.syncContinuation.nextTempo,0.755,0.583,0.669,Prochain tempo…,Nhịp độ tiếp theo...
sw,settings:settings.modeSections.dualPick.generator.subtitle,0.691,0.647,0.669,"Ordre de placement, timeline et distracteurs","Agizo la uwekaji, ratiba ya matukio, na vipotoshi"
my,stats:stats.tooltips.errorRateDesc,0.768,0.57,0.669,Pourcentage d'actions erronées (matchs manqués + fausses alertes) sur toutes vos actions.,လုပ်ဆောင်ချက်အားလုံးမှ မှားယွင်းသော လုပ်ဆောင်ချက်များ (လွဲချော်သော ကိုက်ညီမှုများ + မှားယွင်းသော သတိပေးချက်များ)
th,stats:stats.unifiedReport.confidence.components.inhibitionHelp,0.814,0.524,0.669,"Inhibition : moins il y a d'appuis sur des non-cibles (fausses alarmes), plus le score est élevé.",การยับยั้ง: ยิ่งกดที่ไม่ใช่เป้าหมายน้อย (สัญญาณเท็จ) คะแนนยิ่งสูง
th,game:game.cogTask.wcst.categoriesCompleted,0.817,0.521,0.669,Catégories complétées,หมวดหมู่เสร็จสมบูรณ์
uk,settings:settings.personalization.textSizeSet,0.798,0.54,0.669,Regler a {{value}}%,Встановити {{value}}%
km,settings:settings.modeSections.dualTrace.base.subtitle,0.805,0.533,0.669,"Niveau, modalités et durée",កម្រិត N វិធីសាស្ត្រ និងរយៈពេល
el,stats:stats.contextual.insights.faTendencyV1,0.81,0.528,0.669,Tendance à répondre sur les non-cibles,Τάση απάντησης σε μη-στόχους
ar,settings:settings.gameMode.vernierAcuityDesc,0.711,0.627,0.669,Jugez des decalages spatiaux sub-pixel entre segments.,احكم على انزياحات مكانية دقيقة بين شرائح.
th,settings:settings.config.highRepetition,0.8,0.538,0.669,Cibles + Leurres = {{total}}% — Beaucoup de répétitions !,เป้าหมาย + เหยื่อ = {{total}}% — ซ้ำหลายครั้ง!
ar,settings:settings.about.replayOnboarding,0.816,0.522,0.669,Revoir la présentation,إعادة العرض التقديمي
ms,game:game.attentionalCapture.title,0.811,0.527,0.669,Capture attentionnelle,Tangkapan Perhatian
my,home:cognitive.customizeModalities,0.681,0.657,0.669,Personnaliser les modalités entraînées,လေ့ကျင့်ထားသော ပုံစံများကို စိတ်ကြိုက်ပြင်ဆင်ပါ။
el,settings:settings.data.importResult,0.798,0.54,0.669,"{{imported}} importées, {{skipped}} ignorées","Εισαγωγή {{imported}}, παράλειψη {{skipped}}"
km,game:game.reyFigure.countBackwardsBy7,0.737,0.601,0.669,Comptez à rebours de 7 en 7,រាប់ថយក្រោយដោយ ៧
km,stats:stats.contextual.insights.missTendencyV3,0.748,0.59,0.669,Attention soutenue à travailler,ការយកចិត្តទុកដាក់ជានិរន្តរភាពត្រូវការការងារ
ur,settings:settings.trace.mindfulTiming,0.64,0.698,0.669,Pleine conscience,اليقظة الذهنية
sw,game:game.promem.pmHitRate,0.786,0.552,0.669,Taux de réussite PM,Kiwango cha hit cha PM
my,tutorial:tutorial.ui.expectedMatch,0.809,0.529,0.669,✗ Attendu: Match,✗ မျှော်လင့်: ကိုက်ညီ
ja,stats:stats.contextual.sublines.simpleFallbackV3,0.789,0.549,0.669,"Résumé : {{correct}} réussites, {{errors}} erreurs.",まとめ：{{correct}}正解、{{errors}}不正解。
hu,game:game.hud.spaceToStart,0.739,0.599,0.669,Espace pour démarrer,Szóköz az indításhoz
th,game:game.cognitiveBias.biasResistance,0.68,0.658,0.669,Résistance au biais,ความต้านทานอคติ
sw,settings:settings.gameMode.affectiveGoNogo,0.763,0.575,0.669,Go/No-Go affectif,Go/No-Go ya Hisia
ja,home:ospan.measure.nextMeasureDesc,0.778,0.56,0.669,Seules les passations valides alimentent l'empan actuel et la courbe d'évolution.,有効な実施のみが現在のスパンと推移曲線に反映されます。
my,settings:settings.trace.feedbackDurationHint,0.798,0.54,0.669,Temps du retour visuel,အချိန် for visual feedback
km,tutorial:tutorial.recovery.title,0.738,0.6,0.669,Reprendre le tutoriel ?,បន្តការបង្រៀន?
nl,settings:settings.audio.voiceNumber,0.801,0.537,0.669,Voix {{number}},Stem {{number}}
pt,settings:settings.brainworkshop.tempo,0.771,0.567,0.669,Tempo de la session,Ritmo da sessão
pl,game:game.phonemeDiscrimination.freqThreshold,0.792,0.546,0.669,Seuil de fréquence,Próg częstotliwości
ar,settings:settings.gameMode.arithmeticSpeedDesc,0.716,0.622,0.669,Resolvez des problemes de maths qui tombent avant qu'ils n'atterrissent.,حُل مسائل رياضية تسقط قبل أن تصل إلى الأرض.
bn,game:game.beadsTask.drawBeadsToGatherEvidence,0.667,0.672,0.6695,Tirez des perles pour rassembler des indices,প্রমাণ সংগ্রহের জন্য পুঁতি আঁকুন
sv,settings:settings.gameMode.letterNumberDesc,0.793,0.546,0.6695,Réordonnez lettres et chiffres mélangés. Tâche de manipulation en MT.,Ordna om blandade bokstäver och siffror. Manipulationsuppgift för arbetsminnet.
tr,stats:stats.unifiedReport.hybridJourneyMessages.stayProgressTitle,0.742,0.597,0.6695,Cap maintenu {current}/{total},Sabit kalıyor {current}/{total}
ko,home:ospan.measure.invalidCount,0.817,0.522,0.6695,{{count}} invalidées,{{count}}건 무효
ms,stats:stats.unifiedReport.directnessRatio,0.75,0.589,0.6695,Ratio de directivité,Rasio ketepatan arah
id,stats:stats.unifiedReport.directnessRatio,0.75,0.589,0.6695,Ratio de directivité,Rasio ketepatan arah
hi,tutorial:tutorial.pick.soundConsonne,0.771,0.568,0.6695,Vous entendez T. C'est une consonne. Cliquez sur CONSONNE.,तुम T सुनते हो। यह व्यंजन है। व्यंजन पर क्लिक करो।
nl,game:game.binding.bindingAccuracyChanged,0.721,0.618,0.6695,Précision changement,Nauwkeurigheid wijzigen
ta,stats:stats.confidence.recallTitle,0.729,0.61,0.6695,Confiance Dual Memo,இரட்டை மெமோ நம்பிக்கை
km,settings:settings.legal.mentions,0.792,0.547,0.6695,Mentions légales,សេចក្តីជូនដំណឹងផ្លូវច្បាប់
id,game:game.cogTask.readingSpan.s20,0.818,0.521,0.6695,Les humains ont cinq sens.,Manusia mempunyai panca indera.
my,legal:legal.mentions.section3.content,0.695,0.644,0.6695,L'application NeuroDual est hébergée par :,NeuroDual အပလီကေးရှင်းကို လက်ခံဆောင်ရွက်ပေးသည်-
ur,tutorial:tutorial.place.wrongSlot,0.782,0.557,0.6695,Pas ce slot ! Regardez l'ordre temporel.,وہ سلاٹ نہیں! وقتی ترتیب دیکھیں۔
fi,settings:settings.modeSections.gridlock.advanced.subtitle,0.701,0.638,0.6695,"Assistance, HUD, fin de puzzle","Apu, HUD ja pulmapelin lopetus"
te,game:game.cogTask.timeEstimation.holdInstruction,0.798,0.541,0.6695,Maintenez pour reproduire,పునరుత్పత్తి చేయడానికి పట్టుకోండి
sw,home:home.beta.title,0.792,0.547,0.6695,Fonctionnalités bêta,Vipengele vya Beta
hu,stats:stats.advanced.medianAfterOffset,0.789,0.55,0.6695,"Médiane (après, offset)","Medián (utána, eltolás)"
da,settings:settings.premium.oneTimePayment,0.692,0.647,0.6695,Paiement unique,Engangsbetaling
no,game:replay.tapSlotToPlace,0.804,0.535,0.6695,Tapez sur un slot pour placer,Trykk på et spor for å plassere
ta,game:game.cognitiveEstimation.worstEstimate,0.655,0.684,0.6695,Pire estimation,மோசமான மதிப்பீடு
es,game:game.attentionalCapture.noSingleton,0.719,0.62,0.6695,Pas de singleton,Sin singleton
my,settings:settings.trace.dynamicRulesDesc,0.761,0.578,0.6695,Modalités actives varient par essai (flexibilité cognitive),စမ်းသပ်မှုတစ်ခုလျှင် တက်ကြွသောပုံစံများ ကွဲပြားသည် (သိမြင်မှုပြောင်းလွယ်ပြင်လွယ်)
de,game:game.syncHud.labels.mouseSamples,0.762,0.577,0.6695,échantillons souris,Maus-Samples
mr,tutorial:tutorial.annotations.noMatch2,0.802,0.537,0.6695,Toujours pas de match. Restez attentif au flux position + son.,तरीही जुळत नाही. स्थिती + ध्वनी प्रवाहावर लक्ष केंद्रित करा.
fa,settings:settings.gameMode.antisaccadeDesc,0.812,0.527,0.6695,"Un flash apparaît d'un côté — répondez du côté opposé. Teste votre capacité à supprimer l'orientation réflexe, une fonction exécutive clé.",فلش در یک طرف ظاهر می‌شود — در طرف مقابل پاسخ بده. توانایی سرکوب جهت‌گیری بازتابی را آزمایش می‌کند.
ro,settings:settings.gameMode.colorRushDesc,0.81,0.529,0.6695,Nommez la couleur de l'encre sous interférence de type Stroop. La pression de vitesse augmente.,Denumiți culoarea cernelii sub interferența Stroop-like. Viteza crește presiunea.
hu,home:cognitive.profileStrongest,0.651,0.688,0.6695,Dominante {{label}},Legerősebb: {{label}}
it,stats:report.stroopFlex.performanceByRule,0.814,0.525,0.6695,Performance par règle,Prestazioni per regola
km,game:game.cogTask.timeEstimation.cv,0.692,0.647,0.6695,Coefficient de variation,មេគុណប្រែប្រួល
pl,game:game.verbalFluency.nextRound,0.735,0.604,0.6695,Manche suivante,Następna runda
ms,settings:settings.corsi.highlightSpeed,0.811,0.528,0.6695,Vitesse d'illumination,Kelajuan sorotan
my,game:game.audiovisualBinding.pssLabel,0.769,0.57,0.6695,PSS (point de simultanéité subjective),PSS (ပုဂ္ဂလတူညီချိန်)
fi,game:game.cogTask.noSets,0.71,0.629,0.6695,Aucun set complété.,Ei valmiita sarjoja.
hu,settings:settings.gameMode.delayedMatchingDesc,0.816,0.523,0.6695,Selectionnez un pattern memorise parmi des distracteurs apres un delai.,Válaszd ki az emlékeztetett mintát elterelők közül késleltetés után.
tr,journey:journey.current,0.799,0.54,0.6695,Parcours actuel,Mevcut yolculuk
tr,stats:stats.contextual.sublines.simpleBalancedExpertV2,0.746,0.593,0.6695,Modalités homogènes sur cette session.,Bu oturumda modaliteler oldukça dengeli.
no,settings:settings.premium.oneTimePayment,0.692,0.647,0.6695,Paiement unique,Engangsbetaling
hi,stats:stats.contextual.sublines.errorsTotalV1,0.794,0.545,0.6695,{{errors}} erreurs sur {{trials}} : utile surtout avec la signature (omission / non-cible).,{{trials}} प्रयासों में {{errors}} त्रुटियाँ: चूक/गैर-लक्ष्य के विवरण के साथ अधिक उपयोगी।
th,game:game.tower.previewMemoryCountdown,0.758,0.581,0.6695,Mémorise l'objectif. Début dans {{seconds}}s.,จดจำเป้าหมาย. เริ่มใน {{seconds}}วินาที
zh,settings:settings.trace.sequentialTrace,0.645,0.694,0.6695,Swipes séquentiels,顺序滑动
hu,settings:settings.dualTrack.depthModeDesc,0.775,0.564,0.6695,Ajoute des indices de pseudo-3D pour mieux distinguer les boules qui se chevauchent.,Pszeudo-3D mélységi jelzések hozzáadása az átfedő labdák megkülönböztetéséhez.
it,settings:settings.gameMode.antDesc,0.725,0.614,0.6695,"Trois scores d'attention en un seul test : alerte (vigilance), orientation (indiçage spatial) et contrôle exécutif (résolution de conflit). Basé sur Fan et al. 2002.","Un test, tre punteggi di attenzione: allerta, orientamento, controllo esecutivo."
te,legal:legal.mentions.section3.monitoring,0.758,0.581,0.6695,Monitoring et suivi des erreurs,మానిటరింగ్ మరియు ఎర్రర్ ట్రాకింగ్
bn,stats:stats.unifiedReport.errorsByModality,0.724,0.616,0.6699999999999999,Erreurs par modalité,পদ্ধতি দ্বারা ত্রুটি
pl,game:game.cogTask.posner.cueingEffect,0.705,0.635,0.6699999999999999,Effet d'indiçage,Efekt wskazówki
km,game:game.puzzle.revealingAnswer,0.74,0.6,0.6699999999999999,Révélation de la réponse...,កំពុងបង្ហាញចម្លើយ...
tr,stats:stats.contextual.sublines.falseAlarmsV2,0.819,0.521,0.6699999999999999,Réponses sur non-cibles : {{fa}}. Peut indiquer un critère de match trop permissif. Pour progresser : exiger un indice clair.,Hedef olmayanlara yanıtlar: {{fa}}. Çok esnek kriter olabilir. İyileşmek için: net ipucu iste.
tl,settings:settings.gameMode.speedPackDesc,0.816,0.524,0.6699999999999999,Visualisez comment les objets s'emboîtent à la fermeture.,I-visualize kung paano magkakasya ang mga bagay kapag nagsara ang lalagyan.
sw,journey:journey.current,0.815,0.525,0.6699999999999999,Parcours actuel,Safari ya sasa
pl,game:game.cogTask.backwardMaxSpan,0.733,0.607,0.6699999999999999,Empan max arrière,Maks. zakres do tyłu
tl,journey:journey.deleted,0.751,0.589,0.6699999999999999,Parcours supprimé,Na-delete na ang journey
ta,settings:settings.gameMode.reversalLearningDesc,0.732,0.608,0.6699999999999999,Adaptez-vous quand les associations stimulus-récompense s'inversent.,தூண்டுதல்-வெகுமதி தற்செயல்கள் தலைகீழாக மாறும்போது மாற்றியமைக்கவும்.
th,stats:stats.contextual.sublines.analystDieselV2,0.756,0.584,0.6699999999999999,Vous vous chauffez : fin de session plus propre que le début.,คุณวอร์มอัพแล้ว: ท้ายเซสชันสะอาดกว่าต้น
zh,settings:settings.ufov.peripheralDistance,0.71,0.63,0.6699999999999999,Distance périphérique,外周距离
pt,stats:stats.tooltips.byModalityDualnbackClassicDesc,0.766,0.574,0.6699999999999999,Taux d'erreur par modalité (Dual N-Back classique 2008). C'est la pire modalité qui détermine votre progression.,Taxa de erro por modalidade (Jaeggi 2008). É a pior modalidade que determina sua progressão.
sw,journey:journey.created,0.776,0.564,0.6699999999999999,Parcours créé !,Safari imeundwa!
bn,stats:stats.contextual.sublines.analystConsolidateV2,0.768,0.572,0.6699999999999999,Consolidez d'abord : la montée viendra avec une précision plus stable.,প্রথমে একত্রিত করুন: পরবর্তী স্তরটি স্থির নির্ভুলতার সাথে আসে।
te,settings:settings.gameMode.speedSortDesc,0.766,0.574,0.6699999999999999,"Triez des cartes selon des règles qui changent, le plus vite possible. Flexibilité cognitive.",వీలైనంత వేగంగా నిబంధనలను మార్చడం ద్వారా కార్డ్‌లను క్రమబద్ధీకరించండి. కాగ్నిటివ్ ఫ్లెక్సిబిలిటీ గేమ్.
zh,stats:stats.contextual.sublines.balancedV3,0.726,0.614,0.6699999999999999,Profil stable : aucune modalité ne décroche.,表现稳定：各模态均无明显短板。
bn,stats:stats.simple.byModalityDualnbackClassic,0.724,0.616,0.6699999999999999,Erreurs par modalité,পদ্ধতি দ্বারা ত্রুটি
id,settings:settings.ufov.peripheralDistanceDesc,0.734,0.606,0.6699999999999999,Distance des cibles périphériques par rapport au centre.,Seberapa jauh target periferal muncul dari pusat.
ko,settings:settings.modeSections.brainworkshop.tempo.subtitle,0.774,0.566,0.6699999999999999,"Ticks, extinction et rythme de présentation","틱, 소거 및 프레젠테이션 리듬"
th,settings:settings.visual.stimulusColor,0.817,0.523,0.6699999999999999,Couleur du stimulus,สีกระตุ้น
tr,stats:stats.tooltips.errorRateTrendDesc,0.768,0.572,0.6699999999999999,"Évolution du taux d'erreur global de session (Dual N-Back classique). Chaque point correspond à la moyenne/min/max du jour (options en bas). Plus c'est bas, mieux c'est.",Genel oturum hata oranı eğilimi (Dual N-Back Klasik). Düşük olan daha iyi.
uk,game:game.cogTask.maxSpanReached,0.743,0.597,0.6699999999999999,Empan max atteint,Досягнуто максимального діапазону
zh,settings:settings.gameMode.sentenceCompletion,0.734,0.606,0.6699999999999999,Complétion de phrases (Cloze),句子补全（完形填空）
th,game:game.cogTask.axCpt.cogControl,0.755,0.585,0.6699999999999999,Contrôle cognitif,การควบคุมการรับรู้
my,settings:settings.config.buffers,0.815,0.525,0.6699999999999999,(+ {{count}} tampons),(+ {{count}} ကြားခံများ)
ru,journey:journey.progression.brainworkshop.description,0.703,0.637,0.6699999999999999,Protocole Brain Workshop :,Протокол Brain Workshop (оценка BW):
my,game:game.cogTask.timeEstimation.noBias,0.751,0.589,0.6699999999999999,Pas de biais significatif,မဟုတ်ပါ significant bias
th,home:home.onboarding._legacy_outroTitle,0.771,0.569,0.6699999999999999,Deux voies s'offrent à vous,สองเส้นทางข้างหน้า
ko,settings:settings.gameMode.ospanDesc,0.771,0.569,0.6699999999999999,"Vérifiez des calculs, mémorisez des lettres, puis rappelez dans l'ordre. Le gold standard de l'empan complexe — stockage sous charge cognitive.",산술 방정식을 확인하면서 글자를 기억한 후 순서대로 회상하세요. 복합 스팬의 표준 — 인지 부하 속에서의 저장.
km,stats:stats.journey.dualTrace,0.698,0.642,0.6699999999999999,Parcours Dual Trace,ដំណើរ​តាម​ដាន​ពីរ
el,home:home.challenge.validatedToday.title,0.718,0.622,0.6699999999999999,Objectif du jour validé,Ο στόχος σήμερα ολοκληρώθηκε
te,game:game.aria.trialTimer,0.694,0.646,0.6699999999999999,Minuteur d'essai,ట్రయల్ టైమర్
th,settings:settings.gameMode.categoryCognitiveControl,0.755,0.585,0.6699999999999999,Contrôle cognitif,การควบคุมการรับรู้
tl,settings:settings.trace.sequentialTrace,0.722,0.618,0.6699999999999999,Swipes séquentiels,Sunod-sunod na swipe
zh,game:game.cogTask.sentenceCompletion.title,0.734,0.606,0.6699999999999999,Complétion de phrases (Cloze),句子补全（完形填空）
th,game:replay.focusTimeline.fillCard,0.798,0.542,0.67,Remplir la carte,เติมบัตร
km,journey:journey.previous,0.804,0.536,0.67,Parcours précédent,Journey មុន
id,settings:settings.gameMode.artificialGrammarDesc,0.802,0.538,0.67,Classez des chaines comme grammaticales apres exposition implicite.,Klasifikasikan string sebagai string tata bahasa setelah paparan implisit.
my,settings:settings.spotDiff.difficultyDesc,0.794,0.546,0.67,Taille de la grille et nombre de différences à trouver.,ရှာရန်ဇယားကွက်အရွယ်အစားနှင့် အရေအတွက်ကွာခြားချက်။
ko,game:game.hud.muteTexture,0.656,0.684,0.67,Couper le fond sonore,배경음 음소거
zh,journey:journey.validation.sessions,0.805,0.535,0.67,{{count}} session(s) validante(s),{{count}} 个验证会话
id,home:home.onboarding.ficheOspan,0.799,0.541,0.67,Mémoire de travail — L'OSpan (Operation Span) mesure la capacité à retenir et manipuler des informations en temps réel. Une première passation établit la référence. Les suivantes permettent de suivre l'évolution.,"Ukur memori kerja — memori kerja adalah kemampuan menahan dan memanipulasi informasi secara real-time. Ini adalah salah satu kemampuan utama yang ditargetkan oleh pelatihan kognitif.

Tes OSpan (Operation Span) adalah salah satu tes referensi untuk mengukurnya. Kartu ini menggabungkan tes, hasil masa lalu, dan progresmu. Lakukan sekali untuk menetapkan baseline, lalu ulangi secara berkala untuk mengukur perubahan."
mr,settings:settings.gridlock.profileDesc,0.782,0.558,0.67,"Contrôle la courbe de difficulté dans une session. Débutant reste facile, Standard monte progressivement, Expert commence fort.","एका सत्रात अडचण वक्र नियंत्रित करते. रुकी सहज राहतो, स्टँडर्ड रॅम्प अप करतो, एक्सपर्ट कठोर सुरुवात करतो."
fa,game:game.syncHud.labels.lagHide,0.796,0.544,0.67,retard masquage,تأخیر پوشش
fi,tutorial:tutorial.report.actions.goToTraining,0.801,0.539,0.67,Aller a l'entrainement,Harjoitteluun
vi,legal:legal.privacy.section11.responsible,0.804,0.536,0.67,Responsable du traitement : AGUILAL Abdeslam,Người kiểm soát Dữ liệu: AGUILAL Abdeslam
mr,settings:settings.progression.adaptiveParamsHint,0.663,0.677,0.67,"Paramètres gérés par l'algorithme, affichés pour consultation",संदर्भासाठी दर्शविलेले अल्गोरिदमद्वारे व्यवस्थापित केलेले पॅरामीटर्स
sw,settings:settings.brainworkshop.multiAudioCombinationDisabled,0.791,0.549,0.67,Multi-audio désactivé : incompatible avec les modes combinés (protocole BW).,Sauti nyingi imezimwa: haioani na modi zilizojumuishwa (itifaki ya BW).
id,game:game.cogTask.posner.validAccuracy,0.795,0.545,0.67,Précision valide,Akurasi yang valid
no,legal:legal.cgv.section6.title,0.806,0.534,0.67,6. Remboursement,6. Refusjon
ko,game:game.cogTask.pal.meanRt,0.801,0.539,0.67,TR moyen (correct),평균 RT (정답)
ko,game:game.tower.goalHiddenStatus,0.68,0.66,0.67,Objectif caché. Utilise Révéler pour l'afficher brièvement.,목표가 숨겨져 있습니다. 표시를 사용하여 잠시 확인하세요.
tr,settings:settings.digitSpan.displaySpeed,0.794,0.546,0.67,Vitesse des chiffres,Rakam hızı
el,settings:settings.gameMode.statisticalLearningDesc,0.788,0.552,0.67,Extrayez des regularites de flux visuels/auditifs.,Εξαγωγή μοτίβων από οπτικές/ακουστικές ροές.
pt,game:game.dualTrack.preparing3dScene,0.783,0.557,0.67,Préparation de la scène 3D...,Preparando cena 3D...
pl,stats:stats.unifiedReport.bwMessages.down,0.798,0.542,0.67,Score insuffisant. Vous redescendez pour consolider.,"Niewystarczający wynik. Cofasz się, by skonsolidować."
fi,settings:settings.custom.targetProbabilityHint,0.795,0.545,0.67,Fréquence des stimuli cibles (N-back match),Kohdeärsykkeiden (N-back-vastaavuus) esiintymistiheys
km,settings:settings.gameMode.nonogramDesc,0.784,0.556,0.67,Remplissez une grille grâce aux indices numériques pour révéler une image. Puzzle de logique.,បំពេញក្រឡាចត្រង្គដោយប្រើតម្រុយលេខ ដើម្បីបង្ហាញរូបភាពដែលលាក់។ ល្បែងផ្គុំរូបកាត់តក្កវិជ្ជា។
fi,stats:stats.contextual.sublines.analystDieselV2,0.799,0.541,0.67,Vous vous chauffez : fin de session plus propre que le début.,Lämpenin: istunnon loppu oli puhtaampi kuin alku.
pl,stats:stats.unifiedReport.confidenceScore,0.687,0.653,0.67,Score de confiance,Wynik pewności
ja,settings:settings.gameMode.symbolSearch,0.66,0.68,0.67,Recherche de symboles,記号探索
mr,journey:journey.switcher.open,0.791,0.549,0.67,Ouvrir le sélecteur de parcours,प्रवास स्विचर उघडा
ja,game:game.symbolSearch.title,0.66,0.68,0.67,Recherche de symboles,記号探索
tl,stats:stats.unifiedReport.trendNotEnoughSessions,0.793,0.547,0.67,Jouez encore {{count}} partie(s) pour voir votre progression,Maglaro {{count}} more session(s) to see your progress
de,stats:stats.tooltips.falseAlarmsDesc,0.817,0.524,0.6705,Fausses alertes : quand vous avez répondu sans qu'il y ait de match. Souvent lié à l'impulsivité.,"Fehlalarme: Als du reagiert hast, aber es keinen Treffer gab. Oft wegen Impulsivität."
ar,stats:stats.contextual.sublines.noResponseV1,0.752,0.589,0.6705,"{{targets}} cibles présentées, aucune réponse.",{{targets}} أهداف معروضة بدون استجابة
tr,stats:stats.contextual.sublines.simpleFallbackV3,0.818,0.523,0.6705,"Résumé : {{correct}} réussites, {{errors}} erreurs.","Özet: {{correct}} doğru, {{errors}} yanlış."
tl,stats:stats.contextual.sublines.analystModalityGapStrongV2,0.777,0.564,0.6705,C'est {{worst}} qui pèse le plus : mettez-la en priorité sur la suite.,{{worst}} ang pinakamabigat: unahin ito sa susunod.
th,game:game.cogTask.readingSpan.s11,0.699,0.642,0.6705,Les voitures roulent sur des rails.,รถยนต์ขับบนราง
vi,settings:settings.gameMode.nonogramDesc,0.82,0.521,0.6705,Remplissez une grille grâce aux indices numériques pour révéler une image. Puzzle de logique.,Điền vào lưới bằng cách sử dụng các đầu mối số để tiết lộ một bức tranh ẩn. Câu đố suy luận logic.
ar,settings:settings.config.generator,0.814,0.527,0.6705,Générateur de séquence,مولد التسلسل
fi,stats:stats.unifiedReport.levelDown,0.695,0.646,0.6705,Renforcement des bases nécessaire,Perustyötä tarvitaan
da,game:game.chainCalculation.rememberTotal,0.722,0.619,0.6705,Retenez le total courant...,Husk det samlede antal...
tr,settings:settings.gridlock.sessionVariant,0.74,0.601,0.6705,Variante de session,Oturum varyantı
my,game:game.cogTask.pal.subtitle,0.645,0.696,0.6705,Apprentissage par association,တွဲဖက်သင်ယူခြင်း။
ja,home:home.onboarding.ficheOspan,0.771,0.57,0.6705,Mémoire de travail — L'OSpan (Operation Span) mesure la capacité à retenir et manipuler des informations en temps réel. Une première passation établit la référence. Les suivantes permettent de suivre l'évolution.,"ワーキングメモリを測定 — ワーキングメモリはリアルタイムで情報を保持・処理する能力です。認知トレーニングの主要なターゲット能力の一つです。

OSpan（オペレーションスパン）テストは、この測定の基準テストの一つです。このカードはテスト、過去の結果、進捗をまとめています。ベースラインを確立するために一度受け、その後定期的に再受験して変化を測定してください。"
sw,auth:auth.toast.loginSuccess,0.818,0.523,0.6705,Connexion réussie !,Imefanikiwa kuingia!
my,settings:settings.modeSections.dualPlace.generator.subtitle,0.739,0.602,0.6705,"Ordre de placement, timeline et cartes parasites",နေရာချထားမှု၊ အချိန်ဇယားနှင့် ဆွဲဆောင်မှုကတ်များ
